roomCapturePointId,modelRoomId,userCapturePointId,xMeters,currentY,zMeters,targetY,yOffset,hasCaptures,captureCount
354069a8-ea34-4e7f-b3dd-1f15fb37dab4,3e3ba657-fdf5-4fee-91a2-763e8301c8ba,PH1-L00-FOH SECURITY ROOM 1 - Default Point,76.522,50.4,7.623,0.0,-50.4,yes,13
40cebdf8-ca13-4e66-95c2-20b12a2ad36a,99ee316e-a6a0-4740-95a9-2f5fc2ec5876,PH1-L00-FOH SECURITY ROOM 3 - Default Point,83.292,50.4,7.623,0.0,-50.4,yes,20
35e3ab37-bbe5-4ad1-90e9-6e6e6ffbea0d,c2868866-9052-4cd1-a579-c30d43198aa9,PH1-L00-FOH CUSTOMER AVAILABLE SPACE 04 - Default Point,75.69,50.4,-1.652,0.0,-50.4,no(empty),0
50d0d7df-9a5e-4fd1-a3b1-38df9cdc526e,0c034176-3005-4baf-8da2-412639d300f0,PH1-L00-MB CORRIDOR D.2 - Default Point,41.579,50.4,-49.669,0.0,-50.4,yes,11
a361f5fc-c248-4dc6-865e-67d23a81ca6f,906cefef-6f2e-4f32-ad97-26d2dd2fc21e,PH1-L00-MB DATAHALL 1.2 - Default Point,15.852,50.4,-37.641,0.0,-50.4,no(empty),0
27adbecb-7187-4d18-9670-6b5843318cdb,64b6cf8c-571b-4eab-a268-f4f4cf84fabb,PH2-L00-MB SECONDARY COP_H - Default Point,59.258,50.4,-8.287,0.0,-50.4,yes,48
2f313755-e5cf-4711-86e1-5711c472effc,203d0408-671e-4a90-85f0-4fde5fea5b0b,PH1-L00-MB CICO ROOM 1 - Default Point,7.093,50.4,-8.842,0.0,-50.4,yes,2
943e39d9-383a-49fd-b6f4-d078d161453e,def3b49e-b28d-4478-957a-228135bbf5b7,PH2-L00-MB MSB_K - Default Point,108.779,50.4,-21.134,0.0,-50.4,yes,49
d8404a43-e229-4894-a821-fae6ca9cdd33,157a8d27-824c-45ac-a580-c120fcb39fb1,PH1-L00-MB NETWORK ENTRY 1 - Default Point,12.17,50.4,-1.9,0.0,-50.4,yes,6
7c92e21d-98b0-4cc4-9c76-da3040917048,8b2120ec-ba83-43f4-ab18-79a8495851d0,PH1-L00-MB CORRIDOR R1 - Default Point,18.705,50.4,-49.367,0.0,-50.4,yes,13
