itemId,itemType,userItemId,itemName,parentItemId,parentPresent
367a0967-9b5b-4291-9b7d-cfc680b08ba7,Activity,CS-STL-F-1020,Structural Steel - Area F - Roof Framing,26fe5eca-0594-4003-ae29-92ff710e61b2,yes
36df312a-a21c-4dc6-bec4-2fb5337c9f23,Activity,CS-PCST-H-1000,Precast Concrete - Area H - Set Panels,37da95ef-4e74-40a9-8bec-c7d9a8844882,yes
37da95ef-4e74-40a9-8bec-c7d9a8844882,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.6.1.2.6.9,Area H,0194d2ec-7c1a-439d-9328-06dd55d7c06d,yes
384071d3-0c33-473c-95ff-d3ab5d02ea5b,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.9,Roofing Installation,a673c5f2-f51f-4dbd-a7aa-cd5218b12ab5,NO
386fdd5e-97fe-4e9a-ae97-44e22ae3c1a9,WBS,AUS02-60-Schedule-L1-.1.1.1.1.1.1,Design Milestones,94cce902-c576-4149-a03b-5b0f2fbf8a61,NO
3907b5b5-f956-419b-8853-2603abc7ad41,Activity,CS-STL-L-1000,Structural Steel - Area L - Columns,2a83af4f-3c00-428f-b207-aa3b096efbf4,yes
39083b4f-6c3b-40c6-afb6-0019f3d2131b,Activity,CS-SEAL-1030,Joint Sealant - Precast Walls - Area D - Joint Sealant to Precast Walls,fd1608f8-4077-43c9-8820-f4ba41cb59a1,yes
39925cee-2b7f-4331-befc-2b5315cb47bd,Activity,CS-PAD-P-1070,Building Pad Concrete - Area P - Slab on Grade,2040903a-0de4-4f9d-af7e-c87020d365d2,yes
3a6d9eed-d903-4c35-bc7d-e2da08e1b6b0,Activity,OFCI-GEN-1070,Delivery of 480V Mech Gens (13nr.),7b359369-441c-4e80-8351-0f5ccc5f20e5,yes
3adae775-60b3-4771-b193-00de9ec95466,Activity,MI-1150,"Entrances, Storefront & Curtain Walls",45992aec-2219-4aeb-8bca-3a38aea51a3f,yes
